Schedule,Paragraph,Description,H-S Extra,Specific_HS,Units_HS,Ad_Valorem_HS,Extra,Specific_Geneva,Units_Geneva,Ad_Valorem_Geneva,Specific_Annecy,Units_Annecy,Ad_Valorem_Annecy,Specific_Torquay,Units_Torquay,Ad_Valorem_Torquay
2,202.a,"Tiles, ceramic mosaic, corrugated or grooved, decorated, embossed, enameled, encaustic, flint, glazed or unglazed, gold decorated, hand painted, ornamented, semivitrified, or vitrified, or spar, and all other earthen tiles and tiling by whatever name known (except pill tiles); all the foregoing, valued per square foot: Not over 40 cents: Floor and wall tiles wholly or in part of cement and valued per square foot: Under 14-2/7 cents",,10,6,,,,,,,,,,,28
2,,"Tiles, ceramic mosaic, corrugated or grooved, decorated, embossed, enameled, encaustic, flint, glazed or unglazed, gold decorated, hand painted, ornamented, semivitrified, or vitrified, or spar, and all other earthen tiles and tiling by whatever name known (except pill tiles); all the foregoing, valued per square foot: Not over 40 cents: 14-2/7 or more but not over 20 cents",,10,6,,,,,,,,,4,6,
2,,"Tiles, ceramic mosaic, corrugated or grooved, decorated, embossed, enameled, encaustic, flint, glazed or unglazed, gold decorated, hand painted, ornamented, semivitrified, or vitrified, or spar, and all other earthen tiles and tiling by whatever name known (except pill tiles); all the foregoing, valued per square foot: Not over 40 cents: Over 20 cents",,10,6,,,,,,,,,,,20
2,,"Tiles, ceramic mosaic, corrugated or grooved, decorated, embossed, enameled, encaustic, flint, glazed or unglazed, gold decorated, hand painted, ornamented, semivitrified, or vitrified, or spar, and all other earthen tiles and tiling by whatever name known (except pill tiles); all the foregoing, valued per square foot: Over 40 cents: Floor and wall tiles not wholly or in part of cement: Quarries or quarry tiles 5/8 inch or more thick",,,,60,,,,15,,,,,,15
2,,"Tiles, ceramic mosaic, corrugated or grooved, decorated, embossed, enameled, encaustic, flint, glazed or unglazed, gold decorated, hand painted, ornamented, semivitrified, or vitrified, or spar, and all other earthen tiles and tiling by whatever name known (except pill tiles); all the foregoing, valued per square foot: Over 40 cents: Floor and wall tiles not wholly or in part of cement: Other",,,,60,,,,30,,,,,,30
2,,"Tiles, ceramic mosaic, corrugated or grooved, decorated, embossed, enameled, encaustic, flint, glazed or unglazed, gold decorated, hand painted, ornamented, semivitrified, or vitrified, or spar, and all other earthen tiles and tiling by whatever name known (except pill tiles); all the foregoing, valued per square foot: Over 40 cents: Floor and wall tiles wholly or in part of cement",,,,60,,,,,,,,,,24
2,202.b,"Friezes, mantels, and articles of every description or parts thereof, wholly or in chief value of earthen tiles or tiling other than pill tiles",,,,50,,,,,,,12.5,,,12.5
2,203,Lime: hyrdrated,,12,14,,Including weight of container.,3,14,,,,,3,14,
2,,Lime: Nspf,,10,14,,Including weight of container.,2.5,14,,,,,2.5,14,
2,,"Limestone not suitable for use as monumental or building stone, crude, or crushed but not pulverized",,5,14,,,1.25,14,,,,,1.25,14,
2,204,Caustic calcined magnesite,,0.9375,1,,,0.46875,1,,,,,0.46875,1,
2,,Crude magnesite,,0.46875,1,,,0.234375,1,,,,,0.234375,1,
2,,"Dead burned and grain magnesite, and periclase, not suitable for manufacture into oxychloride cements",,0.575,1,,,,,,,,,0.38333333,1,
2,205.a,"Plaster rock or gypsum, calcined or ground",,1.4,8,,,1.4,8,,,,,1.4,8,
2,205.b,"Portland, Roman, and other hydraulic cement or cement clinker",,6,14,,Including weight of container.,2.25,14,,,,,2.25,14,
2,,White nonstaining Portland cement,,8,14,,Including weight of container.,3,14,,,,,3,14,
2,205.d,"Cement, nspf","HS:205c Keene's cement, and other cement of which gypsum is the component material of chief value: Vaule at 14 dollars per ton or less-3.5 dollars per ton; valued above 14 dollars and not above 20 dollars per ton- 5 dollars per ton, valued above 20 dollars and not above 40 dollars per ton- 10 dollars per ton; value above 40 dollars per ton, 14 dollars per ton",,,20,,,,5,,,,,,5
2,205.e,"Bas-reliefs, statues, and statuettes, wholly or in chief value of plaster of Paris, nspf",,,,60,,,,15,,,,,,15
2,,"Manufactures in chief value of plaster of Paris, nspf",,,,35,,,,,,,,,,17.5
2,206,"Pumice stone: Unmanufactured, valued per ton: Not over $15",,0.1,1,,,,,,0.05,1,,0.05,1,
2,,"Pumice stone: Unmanufactured, valued per ton: Unmanufactured, valued per ton: Over $15",,0.25,1,,,,,,0.125,1,,0.125,1,
2,,Pumice stone: Wholly or partly manufactured,,0.75,1,,,,,,0.5,1,,0.5,1,
2,,"Manufactures wholly or in chief value of pumice stone, nspf",,,,35,,,,,,,17.5,,,17.5
2,207,Clays or earths nspf: Common blue clay and other ball clays: Unwrought and unmanufactured,,1,8,,Geneva: does not separate common blue clay and Gross-Almerode glass plot clay.,1,8,,,,,1,8,
2,,Clays or earths nspf: Common blue clay and other ball clays: Wrought or manufactured,,2,8,,Geneva: does not separate common blue clay and Gross-Almerode glass plot clay.,2,8,,,,,2,8,
2,,Clays or earths nspf: Other (including Gross-Almerode glass pot clay): Unwrought and unmanufactured,,1,8,,Geneva: does not separate common blue clay and Gross-Almerode glass plot clay.,100,7,,,,,50,7,
2,,Clays or earths nspf: Other (including Gross-Almerode glass pot clay): Wrought or manufactured,,2,8,,Geneva: does not separate common blue clay and Gross-Almerode glass plot clay.,2,8,,,,,1,8,
2,,"Bauxite, crude, not refined or otherwise advanced in condition in any manner",,1,8,,,50,7,,,,,50,7,
2,,Bentonite: Unwrought and unmanufactured,,1.5,8,,,75,7,,,,,37.5,7,
2,,Bentonite: Wrought or manufactured,,3.25,8,,,162.5,7,,,,,81.25,7,
2,,China clay or kaolin,,2.5,8,,,1.25,8,,,,,1.25,8,
2,,Clays or earths artificially activated with acid or other material,,1,1,30,,,,,,,,0.125,1,15
2,,"Feldspar, crude",,1,8,,,25,7,,,,,12.5,7,
2,,Fluorspar containing over 97% of calcium fluoride,HS: not more than 97% 8.4 dollars per ton,5.6,8,,,,,,,,,2.1,8,
2,,Fuller's earth: Unwrought and unmanufactured,,1.5,8,,,50,7,,,,,50,7,
2,,Fuller's earth: Wrought or manufactured,,3.25,8,,,1,8,,,,,1,8,
2,207,Sand containing 95% or more of silica and not over 0.6% of oxide of iron and suitable for use in the manufacture of glass,,2,8,,,50,7,,,,,50,7,
2,,"Silica, crude, nspf",,2,8,,,,,,,,,1.75,8,
2,208.a,"Mica, unmanufactured (not including waste or scrap), valued per pound: Not over 15 cents",,4,1,,"Torquay: Add the ""not including waste or scrap"" part.",4,1,,,,,4,1,
2,,"Mica, unmanufactured (not including waste or scrap), valued per pound: Over 15 cents",,4,1,25,"Torquay: Add the ""not including waste or scrap"" part.",2,1,15,,,,2,1,15
2,208.c,"Mica films and splittings, not cut or stamped to dimensions, and in thickness: Not over 0.0012 inch",,,,25,,,,12.5,,,,,,12.5
2,,"Mica films and splittings, not cut or stamped to dimensions, and in thickness: Over 0.0012 inch",,,,40,,,,20,,,,,,20
2,208.d,Mica films and splittings cut or stamped to dimensions,,,,45,,,,22.5,,,,,,22.5
2,208.e,"Mica plates and built-up mica, and all manufactures wholly or in chief value of mica, by whatever name known, to whatever use applied, and whether or not described, named, or provided for in any paragraph of the Tariff Act of 1930 other than paragraph 208",,,,40,,,,25,,,,,,25
2,208.f,Untrimmed phlogopite mica from which no rectangular piece over 2 inches long or 1 inch wide may be cut,,,,15,,,,5,,,,,,5
2,208.g,"Mica waste and scrap, valued per pound: Not over 5 cents: Phlogopite",,,,25,Geneva: Does not specify specific products.,,,15,,,,,,12.5
2,,"Mica waste and scrap, valued per pound: Not over 5 cents: Other",,,,25,Geneva: Does not specify specific products.,,,15,,,,,,15
2,,"Mica waste and scrap, valued per pound: Over 5 but not over 15 cents",HS: more than 5 dollars per pound should be classified as mica unmanufactured,,,,,,,,,,,4,1,
2,,"Mica waste and scrap, valued per pound: Over 15 cents",HS: more than 5 dollars per pound should be classified as mica unmanufactured,,,,,,,,,,,2,1,15
2,208.h,"Mica, ground or pulverized",,,,20,,,,15,,,,,,12.5
2,209,"Talc, steatite or soapstone, and French chalk: Crude and unground",,1,1,,,,,,0.125,1,,0.125,1,
2,,"Talc, steatite or soapstone, and French chalk: Ground, powdered, pulverized, or washed (except toilet preparations), valued per ton: Not over $14: Talc and steatite or soapstone","HS: no differentiation based on value, so I used uniform tax rate here",,,35,,,,10,,,17.5,,,8.75
2,,"Talc, steatite or soapstone, and French chalk: Ground, powdered, pulverized, or washed (except toilet preparations), valued per ton: Not over $14: French chalk",,,,35,,,,,,,,,,17.5
2,,"Talc, steatite or soapstone, and French chalk: Ground, powdered, pulverized, or washed (except toilet preparations), valued per ton: Over $14",,,,35,,,,,,,,,,17.5
2,,"Talc, steatite or soapstone, and French chalk: Cut or sawed, or in blanks, crayons, cubes, disks, or other forms",HS: if decorated 45%,,,35,,,,,0.5,1,,0.5,1,
2,210,"Common brown, gray, red, or yellow earthenware, embossed or plain, composed of a body wholly of clay which is unmixed, unwashed, and not artificially colored; common salt-glazed stoneware; stoneware and earthenware crucibles; all the foregoing, whether or not ornamented, incised, or decorated in any manner, and manufactures wholly or in chief value of such ware, nspf: Stoneware and earthenware crucibles",,,,15,Geneva: Gives a more general discription.,,,10,,,,,,10
2,,"Common brown, gray, red, or yellow earthenware, embossed or plain, composed of a body wholly of clay which is unmixed, unwashed, and not artificially colored; common salt-glazed stoneware; stoneware and earthenware crucibles; all the foregoing, whether or not ornamented, incised, or decorated in any manner, and manufactures wholly or in chief value of such ware, nspf: Other",,,,20,,,,,,,,,,5
2,,"Rockingham earthenware, valued per dozen articles: Under 80 cents","HS: no differentiation on values, so I used a uniform tax rate",,,25,,,25,,,,,,,25
2,,"Rockingham earthenware, valued per dozen articles: 80 cents or more but not over $2.66-2/3",,,,25,20,16,,,,,,20,16,
2,,"Rockingham earthenware, valued per dozen articles: Over $2.66-2/3",,,,25,,,7.5,,,,,,,7.5
2,211,"Earthenware and crockery ware composed of a nonvitrified absorbent body, in­cluding white granite and semiporcelain earthenware, and cream-colored ware, terra cotta, and stoneware, including charms, clock cases with or without movements, cups, lamps, mugs, ornaments, pill tiles, plaques, statues, statuettes, steins, vases, and other articles wholly or in chief val­ue of such ware; all the foregoing, whether plain black, plain brown, plain red, plain white, plain yellow, colored, enameled, gilded, ornamented, painted, printed, stained, tinted, or decorated in any manner, nspf: Tableware, kitchenware, and table and kitchen utensils, any of the foregoing which are plates, not over 6-5/8 inches in diameter and valued 75 cents or more per dozen, or over 6-5/8 but not over 8-1/8 inches in diameter and valued 90 cents or more per dozen, or over 8-1/8 but not over 9-1/8 inches in diameter and valued $1.30 or more per dozen, or over 9-1/8 inches in diameter and valued $1.55 or more per dozen; cups, valued $1 or more per dozen; or saucers, valued 55 cents or more per dozen; all the foregoing: Not colored, enameled, gilded, ornamented, painted, printed, stained, tinted, or decorated in any manner","HS: There is only differentiation on whether the product was painted and colored, no differentiation on the value of the product, so I used a uniform tax rate here",10,20,45,,,,,,,,10,16,25
2,,Other,,10,20,50,,,,,,,,10,17,20
2,,"Tableware, kitchenware, and table and kitchen utensils; any of the foregoing which are plates of the diameters specified above, cups, or saucers; each of the foregoing which is valued at less than the value specified above in respect of the like article",,10,20,45,,,,,,,,10,17,45
2,211,"Earthenware, etc. (con.): Other tableware, kitchenware, and table and kitchen utensils, valued per dozen: Under $2",,10,20,45,,,,,,,,10,17,45
2,,$2 or more,,10,20,45,,,,,,,,10,17,25
2,,"Articles which are not tableware, kitchenware, or table or kitchen utensils, valued per dozen: $3 or more but under $10",,10,20,45,,,,,,,,10,17,35
2,,$10 or more,,10,20,45,,,,,,,,5,17,25
2,212,"China, porcelain, and other vitrified wares (not including chemical porcelain ware and chemical stoneware), composed of a vitrified nonabsorbent body which when broken shows a vitrified or vitreous, or semivitrified or semivitreous fracture, and bisque and parian wares, including charms, clock cases with or without movements, cups, mugs, lamps, ornaments, pill tiles, plaques, statues, statuettes, steins, vases, and other articles wholly or in chief value of such ware, whether plain white, colored, enameled, gilded, painted, printed, stained, tinted, or ornamented or decorated in any manner, nspf: Tableware, kitchenware, and table and kitchen utensils: Containing 25% or more of cal­cined bone: Plain white, valued per dozen pieces: Under $1","HS: There is only differentiation on whether the product was painted and colored, no differentiation on the value of the product. However in the Torquay description there is no longer differentiation on the ""colored"" issue, so for now I painted the paragraph blue for futher check, maybe reorganization of this paragraph is needed.",10,20,70,,,,,,,,5,17,25
2,,$1 or more,,,,,,,,,,,,,,30
2,,"Other, valued per dozen pieces: Under $1",,,,,,,,,,,,5,17,30
2,,$1 or more,,,,,,,,,,,,,,35
2,212,"China, etc.: Tableware, etc. (con.): Not containing 25% or more of calcined bone (except hotel or restaurant ware and utensils), and which are plates, not over 6-5/8 inches in diameter and valued over $2.55 per dozen, or over 6-5/8 but not over 7-7/8 inches in diameter and valued over $3.45 per dozen, or over 7-7/8 but not over 9-1/8 inches in diameter and valued over $5 per dozen, or over 9-1/8 inches in diame­ter and valued over $6 per dozen; cups, valued over $4.45 per dozen; saucers, valued over $1.90 per dozen; or articles other than plates, cups, or saucers, valued over $11.50 per dozen articles; all the foregoing",,,,,,,,,,,,10,17,35
2,,"Articles which are not tableware, kitchenware, or table or kitchen utensils: Electrical porcelain ware, sanitary ware, and fittings and parts for sanitary ware",,,,,,,,,,,,,,35
2,,Other: Containing 25% or more of calcined bone,,,,,,,,,,,,,,25
2,,"China, etc.: Tableware, etc.: Other (con.): Not containing 25% or more of calcined bone: Plain white, valued per dozen pieces: Under 66-2/3 cents",,,,,,,,,,,,,,60
2,,66-2/3 cents or more but not over $1,,,,,,,,,,,,40,17,
2,,Over $1,,,,,,,,,,,,,,40
2,,"Other, valued per dozen pieces: Under 71-3/7 cents",,,,,,,,,,,,,,70
2,,71-3/7 cents or more but not over $1.11-1/9,,,,,,,,,,,,50,17,
2,,Over $1.11-1/9,,,,,,,,,,,,,,45
2,213,"Graphite or plumbago, crude or refined: Amorphous",,,,10,,,,5,,,,,,5
2,,"Graphite or plumbago, crude or refined: Crystalline chip, dust, or lump",,,,30,,,,7.5,,,,,,7.5
2,,"Graphite or plumbago, crude or refined: Crystalline flake, valued per pound: Under 2-3/4 cents","HS: no differentiation on values, so I used a uniform tax rate",1.65,1,,,0.4125,1,,,,,0.4125,1,
2,,"Graphite or plumbago, crude or refined: Crystalline flake, valued per pound: 2-3/4 or more but not over 5-1/2 cents",,1.65,1,,,,,15,,,,,,15
2,,"Graphite or plumbago, crude or refined: Crystalline flake, valued per pound: Over 5-1/2 cents",,1.65,1,,,0.825,1,,,,,0.825,1,
2,214,"Earthy or mineral substances wholly or partly manufactured and articles (crude or advanced in condition) wholly or in chief value of earthy or mineral substances, nspf, whether susceptible of decoration or not: Diamond dies, pierced or partially pierced, mounted or unmounted, not decorated in any manner","HS: there is only differentiation in whetehr the product is decorated; if decorated 40%, so here I used the uniform tax rate for all the ""not decorated"" products.",,,30,,,,,,,,,,15
2,,"Feldspar, ground",,,,30,,,,,,,,,,7.5
2,,Marble chip or granito,,,,30,,,,,,,,,,15
2,,"Stone, ground, or crushed otherwise than merely to facilitate shipment to the United states (not including marble chip or granito): Cornwall",,,,30,,,,,,,,,,15
2,,Other,,,,30,,,,,,,,,,7.5
2,214,"Earthy or mineral substances, etc (con.): Other, if not decorated (except synthetic materials of gem stone quality, such as corundum and spinal, and articles wholly or in chief value of such materials)",,,,30,,,,,,,,,,15
2,216,"Carbons and electrodes, of whatever material, wholly or partly manufactured, for producing electric arc light: Under 1/2 inch in diameter or of equivalent cross-sectional area","HS: Paragraph 215 Gas retorts 20%, lava tips for burners 10 cents per gross and 15%; magnesia clay supporters, consisting of rings, rods and other forms for gas mantles 35%.",,,60,,,,20,,,,,,20
2,,"Carbons and electrodes, of whatever material, wholly or partly manufactured, for producing electric arc light: 1/2 inch or more in diameter or of equivalent cross-sectional area",,,,45,,,,15,,,,,,15
2,,"Electrodes, wholly or in part of carbon or graphite, wholly or partly manufactured, for electric furnace or electrolytic purposes",,,,45,,,,15,,,,,,15
2,,"Brushes, of whatever material, wholly or partly manufactured, for electric generators, motors, or other electrical machines or appliances; plates, rods, and other forms, of whatever material, wholly or partly manufactured, for manufacturing into the aforesaid brushes",,,,45,,,,12.5,,,,,,12.5
2,,"Articles wholly or in part of carbon or graphite, wholly or partly manufactured, nspf",,,,45,,,,15,,,,,,15
2,217,"Ampoules, bottles, carboys, covered or uncovered demijohns, jars, and vials, wholly or in chief value of glass, unfilled, nspf, and holding: Under 1/4 pint",HS: be careful about the units applied here,50,18,,Annecy: Does not list ampoules and vials.,,,,25,18,,25,18,
2,,"Ampoules, bottles, carboys, covered or uncovered demijohns, jars, and vials, wholly or in chief value of glass, unfilled, nspf, and holding: 1/4 or more but not over 1 pint",,1.5,1,,Annecy: Does not list ampoules and vials.,,,,0.75,1,,0.75,1,
2,,"Ampoules, bottles, carboys, covered or uncovered demijohns, jars, and vials, wholly or in chief value of glass, unfilled, nspf, and holding: Over 1 pint",,1,1,,Geneva: Does not list ampoules and vials.,0.5,1,,,,,0.5,1,
2,218.a,"Biological, chemical, metallurgical, pharmaceutical, and surgical articles and utensils of all kinds, including all scientific articles and utensils, whether used for experimental purposes in hospitals, laboratorie, schools, or otherwise; all the foregoing (except articles provided for in para­graph 217 or 218(e), Tariff Act of 1930), finished or unfinished, wholly or in chief value of: Glass",,,,85,,,,,,,,,,42.5
2,,"Biological, chemical, metallurgical, pharmaceutical, and surgical articles and utensils of all kinds, including all scientific articles and utensils, whether used for experimental purposes in hospitals, laboratorie, schools, or otherwise; all the foregoing (except articles provided for in para­graph 217 or 218(e), Tariff Act of 1930), finished or unfinished, wholly or in chief value of: Fused quartz or fused silica",,,,50,,,,25,,,,,,25
2,218.b,"Canes, rods, tubing, and tubes (except gauge glass tubes), with ends finished or unfinished, for whatever purpose used, wholly or in chief value of: Glass",,,,65,Geneva: Fuseible enamel rods.,,,32.5,,,,,,32.5
2,,"Canes, rods, tubing, and tubes (except gauge glass tubes), with ends finished or unfinished, for whatever purpose used, wholly or in chief value of: Fused quartz or fused silica",,,,40,,,,20,,,,,,20
2,,"Gauge glass tubes, wholly or in chief value of glass",,,,60,,,,17.5,,,,,,17.5
2,218.c,"Illuminating articles of every description, finished or unfinished, wholly or in chief value of glass, for use in connection with artificial illumination: Glass chandeliers, prisms, and articles in chief value of prisms",,,,60,"Provided, That parts not specially The same rate of provided for, wholly or in chief value of glass, of any of the foregoing shall be subject to: The same rate of duty as the articles of which they are parts.",,,30,,,,,,30
2,,"Illuminating articles of every description, finished or unfinished, wholly or in chief value of glass, for use in connection with artificial illumination: Globes and shades",,,,70,"Provided, That parts not specially The same rate of provided for, wholly or in chief value of glass, of any of the foregoing shall be subject to: The same rate of duty as the articles of which they are parts.",,,45,,,,,,45
2,,"Illuminating articles of every description, finished or unfinished, wholly or in chief value of glass, for use in connection with artificial illumination: Other (not including chimneys)",,,,60,"Provided, That parts not specially The same rate of provided for, wholly or in chief value of glass, of any of the foregoing shall be subject to: The same rate of duty as the articles of which they are parts.",,,30,,,,,,30
2,218.d,"Glassware commercially known as plated or cased glass, composed of two or more layers of clear, colored, opaque, or semitranslucent glass, or combinations of the same: Containing 24% or more of lead oxide: Under $1","HS: there is no differentiation on the value, so I applied a uniform tax rate here",,,60,Torquay: Ad valorem tariff that does not depend on price.,,,50,,,,,,30
,,"Glassware commercially known as plated or cased glass, composed of two or more layers of clear, colored, opaque, or semitranslucent glass, or combinations of the same: Containing 24% or more of lead oxide: $1 or more but not over $1.66-2/3",,,,60,Torquay: Ad valorem tariff that does not depend on price.,50,19,,,,,,,30
,,"Glassware commercially known as plated or cased glass, composed of two or more layers of clear, colored, opaque, or semitranslucent glass, or combinations of the same: Containing 24% or more of lead oxide: Over $1.66-2/3",,,,60,Torquay: Ad valorem tariff that does not depend on price.,,,30,,,,,,30
2,,"Glassware commercially known as plated or cased glass, composed of two or more layers of clear, colored, opaque, or semitranslucent glass, or combinations of the same: Other, valued each: Under $1",,,,60,,,,50,,,,,,50
2,,"Glassware commercially known as plated or cased glass, composed of two or more layers of clear, colored, opaque, or semitranslucent glass, or combinations of the same: $1 or more but not over $1.66-2/3",,,,60,,50,19,,,,,50,19,
2,,"Glassware commercially known as plated or cased glass, composed of two or more layers of clear, colored, opaque, or semitranslucent glass, or combinations of the same: Over $1.66-2/3",,,,60,,,,30,,,,,,30
2,218.e,"Bottles and jars, wholly or in chief value of glass, of the character used or designed to be used as container of perfume, talcum powder, toilet water, or other toilet preparations: Produced by automatic machine",HS: the only differentiation is whether produced by the auotmatic machine,,,25,,,,,,,,,,12.5
2,,Produced otherwise than by automatic machine: Filled with toilet preparations,,,,25,,,,20,,,,,,18.75
2,,"Filled with contents subject to an ad valorem rate of duty not over 45%, other than toilet preparations",,,,75,Geneva: no this sub-paragraph,,,,,,,,,45
2,,Unfilled: Bottles,,,,75,,,,50,,,,,,45
2,,Jars,,,,75,,,,37.5,,,,,,37.5
2,,"Bottles, jars, and vials, wholly or in chief value of glass, fitted with or designed for use with ground-glass stoppers, when suitable for use and of the character ordinarily employed for the holding or transportation of mer­chandise other than perfume, talcum powder, toilet water, or other toilet preparations: Produced by automatic machine",,,,25,,,,,,,,,,12.5
2,,Otherwise produced,,,,75,,,,37.5,,,,,,37.5
2,218.f,"Table and kitchen articles and utensils, and articles of every description nspf, wholly or in chief value of glass, blown or partly blown in the mold or otherwise, or colored, cut, engraved, etched, frosted, gilded, ground (except such grinding as is necessary for fitting stoppers or for purposes other than ornamentation), painted, printed in any manner, sand-blasted, silvered, stained, or decorated or ornamented in any manner, whether filled or unfilled, and whether their contents be dutiable or free: Articles designed primarily for ornamental purposes, decorated chiefly by engrving, and valued at $8 or more each","HS: no differentiation in the original description in, the whole paragraph is under one uniform tax rate",,,60,,,,30,,15,15,,,15
2,218.f,"Table and kitchen articles and utensils, etc. (con.): Christmas tree ornaments valued per gross: Under $7.50",,,,60,,,,50,,,,,,50
2,,$7.50 or more,,,,60,,,,,,,,,,30
2,,"Other articles and utensils: Blown or partly blown, in the mold or otherwise, if cut or engraved, and valued $3 or more each",,,,60,,,,,,,,,,22.5
2,,Commercially known as bubble glass and produced otherwise than by automatic machine (except cut or engraved articles or utensils valued $1 or more each),,,,60,,,,30,,,,,,30
2,,"Other articles and utensils: Other, valued each: Under $1",,,,60,,,,,,,,,,50
2,,$1 or more but not over $1.66-2/3,,,,60,,,,,,,,50,19,
2,,Over $1.66-2/3,,,,60,,,,,,,,,,30
2,218.g,"Table and kitchen articles and utensils, wholly or in chief value of glass, pressed and unpolished, whether or not decorated or ornamented in any manner or ground, whether filled or unfilled, and whether their contents be dutiable or free",,,,50,Geneva: two extra sub-paragraph of 150 and 720 square inches   ,,,25,,,,,,25
2,219,"Crown, cylinder, and sheet glass, by whatever process made, and for whatever purpose used: Not over 384 square inches",HS: no exceeding 150 square inches 1.875 cents per pound,2.0625,1,,,1.078125,1,,,,,0.8,1,
2,,Over 384 but not over 864 square inches,HS: no exceeding 720 square inches 1.875 cents per pound 2.4375 cens per pound,2.625,1,,,1.375,1,,,,,1,1,
2,,Over 864 but not over 2400 square inches,HS: no exceeding 1200 square inches 3 cents per pound,3.375,1,,,1.765625,1,,,,,1.3,1,
2,,Over 2400 square inches,,3.75,1,,"Provided, That none of the forego­ing weighing under 16 but not under 12 ounces per square foot shall be subject to a less rate of duty than 20% ad val",1.96875,1,,,,,1.6,1,
2,220,"Laminated glass composed of layers of glass and other material or materials, and manufactures wholly or in chief value of such glass",,,,60,,,,22.5,,,,,,22.5
2,221,"Rolled glass (not sheet glass), figured, fluted, ribbed, rough, or containing a wire netting within itself",,1.5,1,,,0.75,1,,,,,0.75,1,
2,222.a,"Plate glass, by whatever process made: Not over 384 square inches",,12.5,11,,,4.15,6,,,,,4.15,6,
2,,Over 384 but not over 720 square inches,,17,11,,,5.65,6,,,,,5.65,6,
2,,Over 720 but not over 1008 square inches,,17.5,11,,,5.85,6,,,,,5.85,6,
2,,Over 1008 square inches,,19.75,,,,6.6,6,,,,,6.6,6,
2,,"Provided, That none of the foregoing 1/2 inch or more thick shall be subject to a less rate of duty than",,,,50,,,,25,,,,,,25
2,222.b,Plate glass containing a wire netting within itself: Not over 384 square inches,,15,11,,,5,6,,,,,5,6,
2,,Over 384 but not over 720 square inches,,20,11,,,6.6,6,,,,,6.6,6,
2,,Over 720 square inches,,23,11,,,7.65,6,,,,,7.65,6,
2,222.d,"Crown, cylinder, rolled, and sheet glass, not plate glass, if ground wholly or in part (whether or not pol­ished) otherwise than for the purpose of ornamentation, or if 1/4 inch or more thick and obscured by coloring prior to solidification","HS: shall be subject to the duties provided in subparagraph (a) (b) of this paragraph; if any of the foregoing is subjected to any of the process specified in paragraph 224, the additional duty provided therein shall apply",,,,The specific duties in item 222.a of 222.b above,,,,,,,,,
2,,"Provided, That none of the foregoing 1/2 inch or more thick and not con­taining a wire netting within itself shall be subject to less than the following rates of duty: If ground wholly or in part (whether or not polished) otherwise than for the purpose of ornamentation",,,,,,,,25,,,,,,25
2,,If not ground wholly or in part,,,,,,,,20,,,,,,20
2,223,"Crown, cylinder, plate, and sheet glass, by whatever process made, if made into finished or partly finished mirrors in size: Over 144 but not over 384 square inches",,15,11,,,8,6,,,,,7.5,6,
2,,Over 384 but not over 720 square inches,,20,11,,,10,6,,,,,10,6,
2,,Over 720 square inches,,23,11,,,12,6,,,,,11.5,6,
2,,"Provided, That none of the forego­ing shall be subject to a less rate of duty than",,,,45,,,,25,,,,,,22.5
2,224,"Crown, cylinder, plate, rolled, and sheet glass, and glass mirrors over 144 square inches in size, by whatever process made, if bent, beveled, col­ored (except glass other than plate glass and not under 1/4 inch thick, which has been obscured by coloring prior to solidification), decorated, embossed, enameled, engraved, etched, flashed, frosted, ornamented, painted, sanded, or stained, shall be subject to a duty of",,,,5,in addition to the rates otherwise chargeable thereon ,,,5,,,,,,2.5
2,225,"Eyeglasses, goggles, and spectacles, and frames for the foregoing, or parts thereof, finished or unfinished, val­ued per dozen: Over 65 cents but not over $2.50",HS: not over 65 cents 20 cents: per dozen and 15%,20,20,15,,40,20,10,,,,40,cents per dozen,10
2,,Over $2.50,,60,20,50,,,,20,,,,,,20
2,226,"Lenses of glass or pebble, molded or pressed, or ground and polished to a cylindrical, prismatic, or spherical form, and ground and polished coquille or plano glasses, wholly or partly manufactured: With the edges unground: Eyeglass and spectacle lenses valued $10 or more per dozen pairs",,,,40,,,,15,5,21,12.5,,,15
2,,Lighthouse lenses,HS: no lighthouse lenses mentioned in HS,,,,,,,,,,,,,12.5
2,,With the edges ground or beveled: Lighthouse lenses valued per dozen pairs: Under $2,HS: strips of glass not more than 3 inches wide groud or polished on on or both sides to a cylindrival or prismatic form including thoses used in the construction of gauge and glass slides for magic lanterns 35%,10,20,35,Geneva: no specification of under $2 and others,10,20,25,,,,5,cents per dozen pairs,10
2,,$2 or more,,,,,,,,,,,,,,12.5
2,,"Other than eyeglass, spectacle, and lighthouse lenses",,,,,,,,,,,,10,cents per dozen pairs,25
2,228.a,"Cathetometers, colorimeters, corneal microscopes, haemacytometers, interferometers, ophthalmoscopes, optical measuring or optical testing instruments, photometers, polarimeters, polariscopes, recording or testing instruments for ophthalmological purposes, refractometers, saccharimeters, slit lamps, spectrographs, spectrometers, spectroscopes, frames and mountings therefor, and parts of any of the foregoing; all the foregoing, finished or unfinished","HS: paragraph 227 Optical glass or glass used in the manufacture of lenses or prisms for spectacles, or for optical instruments or equipment, or for optical parts, scientific or commercial, in any and all forms 50%",,,60,,,,30,,,,,,50
2,,"Prism-binoculars, frames and mountings therefor, and parts of any of the foregoing; all the foregoing, finished or unfinished",,,,60,,,,,,,,,,30
